category,name,location,nurse_service,doctor_service,treat_service,hospital_service,patient_service,total
상급종합병원,중앙대학교병원,서울,93.75,89.90,90.14,90.22,88.42,91.06
종합병원,국립암센터,경기,92.00,84.70,85.77,87.42,84.93,89.19
상급종합병원,인하대학교의과대학부속병원,인천,93.23,85.83,87.06,90.58,86.97,89.07
상급종합 병원,가톨릭대학교서울성모병원,서울,90.65,82.43,84.35,92.56,83.59,88.49
상급종합병원,원광대학교병원,전북,90.10,85.76,85.36,88.69,82.68,88.48
상급종합병원,삼성서울병원,서울,91.16,80.90,84.23,89.83,79.92,88.28
상급종합병원,화순전남대학교병원,전남,91.58,83.77,85.65,86.60,84.17,88.28
종합병원,울산대학교병원,울산,92.65,86.61,85.81,88.28,83.69,87.83
상급종합병원,순천향대학교부속 부천 병원,경기,92.02,84.18,84.83,88.30,82.97,87.75
상급종합병원,서울아산병원,서울,91.76,82.67,85.26,88.52,81.94,87.58
상급종합병원,질곡경북대학교병원,대구,89.82,83.67,84.96,90.40,81.76,87.38
종합병원,제주대학교병원,제주,91.00,84.47,84.30,89.77,83.88,86.97
상급종합병원,대구가톨릭대학교병원,대구,92.16,86.12,86.55,90.35,85.76,86.87
상급종합병원,분 당서울 대학교 병원,경기,89.96,79.84,80.95,89.29,80.49,86.73
상급종합병원,동아대학교병원,부산,88.45,82.43,81.82,84.03,80.39,86.48
