date,highway,distance,direction,animal,category,hour,minute,index_final,longitude,latitude,check,index
1/7/2015,동해선,7,속초,고라니,강원,10,22,동해선_7,129.150053083,37.436992741,0~50km 미만구간,동해선_0~50km 미만구간
1/11/2015,동해선,41,속초,너구리,강원,1,46,동해선_41,128.99620408,37.680380145,0~50km 미만구간,동해선_0~50km 미만구간
1/14/2015,동해선,47.7,동해,고라니,강원,18,50,동해선_47.7,128.922355358,37.687772646,0~50km 미만구간,동해선_0~50km 미만구간
1/14/2015,청주상주선,18.8,상주,고라니,충북,20,15,청주상주선_18.8,127.608921848,36.486539311,0~50km 미만구간,청주상주선_0~50km 미만구간
1/30/2015,청주상주선,43.5,상주,삵,충북,16,15,청주상주선_43.5,127.871996024,36.445452971,0~50km 미만구간,청주상주선_0~50km 미만구간
1/14/2015,당진대전선,30,대전,고라니,대전충남,5,34,당진대전선_30,126.825385004,36.646975954,0~50km 미만구간,당진대전선_0~50km 미만구간
1/5/2015,서천공주선,10.8,서천,고라니,대전충남,16,56,서천공주선_10.8,126.767773811,36.134663493,0~50km 미만구간,서천공주선_0~50km 미만구간
1/7/2015,서천공주선,47.6,공주,고라니,대전충남,15,36,서천공주선_47.6,126.983347447,36.391652452,0~50km 미만구간,서천공주선_0~50km 미만구간
1/14/2015,광주대구선,24,대구,고라니,광주전남,12,40,광주대구선_24,127.079102113,35.349216747,0~50km 미만구간,광주대구선_0~50km 미만구간
1/1/2015,순천완주선,38.5,완주,고라니,광주전남,8,52,순천완주선_38.5,127.414746067,35.255106151,0~50km 미만구간,순천완주선_0~50km 미만구간
1/24/2015,순천완주선,28.2,완주,족제비,광주전남,3,43,순천완주선_28.2,127.446050013,35.172741198,0~50km 미만구간,순천완주선_0~50km 미만구간
1/2/2015,남해선,28.4,순천,고라니,광주전남,10,25,남해선_28.4,127.745804905,34.980068581,0~50km 미만구간,남해선_0~50km 미만구간
1/2/2015,광주대구선,41.8,광주,고라니,광주전남,8,20,광주대구선_41.8,127.257363454,35.385765329,0~50km 미만구간,광주대구선_0~50km 미만구간
1/1/2015,중부선,6.9,하남,고라니,부산경남,19,20,중부선_6.9,128.41162224,34.911215913,0~50km 미만구간,중부선_0~50km 미만구간
1/4/2015,중부선,26.2,통영,고라니,부산경남,20,5,중부선_26.2,128.291746118,35.036367319,0~50km 미만구간,중부선_0~50km 미만구간
2/22/2015,영동선,46.7,신갈,너구리,수도권,11,20,영동선_46.7,127.158122439,37.287635357,0~50km 미만구간,영동선_0~50km 미만구간
2/17/2015,당진대전선,4.1,당진,고라니,대전충남,8,40,당진대전선_4.1,126.648000299,36.823060303,0~50km 미만구간,당진대전선_0~50km 미만구간
2/22/2015,당진대전선,44,당진,고라니,대전충남,19,25,당진대전선_44,126.941339367,36.577698967,0~50km 미만구간,당진대전선_0~50km 미만구간
2/24/2015,호남지선,17.4,논산,오소리,전북,1,36,호남지선_17.4,127.237984371,36.168975777,0~50km 미만구간,호남지선_0~50km 미만구간
2/23/2015,서천공주선,25.8,서천,고라니,대전충남,6,10,서천공주선_25.8,126.803506266,36.263570889,0~50km 미만구간,서천공주선_0~50km 미만구간
2/6/2015,순천완주선,47.4,순천,너구리,광주전남,23,50,순천완주선_47.4,127.368033107,35.322675313,0~50km 미만구간,순천완주선_0~50km 미만구간
2/6/2015,중부선,4.2,통영,너구리,부산경남,3,25,중부선_4.2,128.412858808,34.887377331,0~50km 미만구간,중부선_0~50km 미만구간
3/14/2015,당진대전선,44,당진,고라니,대전충남,14,34,당진대전선_44,126.941339367,36.577698967,0~50km 미만구간,당진대전선_0~50km 미만구간
3/2/2015,호남지선,13.1,회덕,고라니,전북,5,9,호남지선_13.1,127.194865379,36.163744973,0~50km 미만구간,호남지선_0~50km 미만구간
3/8/2015,호남지선,8.4,논산,너구리,전북,11,10,호남지선_8.4,127.152337336,36.143166417,0~50km 미만구간,호남지선_0~50km 미만구간
3/29/2015,서천공주선,24.5,서천,고라니,대전충남,6,33,서천공주선_24.5,126.795092433,36.254064572,0~50km 미만구간,서천공주선_0~50km 미만구간
3/31/2015,고창담양선,1.7,고창,고라니,광주전남,7,40,고창담양선_1.7,126.666753974,35.406876181,0~50km 미만구간,고창담양선_0~50km 미만구간
3/14/2015,무안광주선,14.5,광주,고라니,광주전남,23,35,무안광주선_14.5,126.53559307,35.044110258,0~50km 미만구간,무안광주선_0~50km 미만구간
3/22/2015,서해안선,42.3,목포,고라니,광주전남,6,57,서해안선_42.3,126.483094764,35.175655227,0~50km 미만구간,서해안선_0~50km 미만구간
3/2/2015,남해제1지선,1.2,창원,고라니,부산경남,12,55,남해제1지선_1.2,128.486286664,35.268847645,0~50km 미만구간,남해제1지선_0~50km 미만구간
3/3/2015,남해제1지선,17.3,창원,고라니,부산경남,7,25,남해제1지선_17.3,128.630422324,35.270509943,0~50km 미만구간,남해제1지선_0~50km 미만구간
3/5/2015,중부선,16.4,하남,고라니,부산경남,21,27,중부선_16.4,128.370299279,34.983739513,0~50km 미만구간,중부선_0~50km 미만구간
3/30/2015,중부선,4.4,통영,고라니,부산경남,21,18,중부선_4.4,128.412795945,34.889179888,0~50km 미만구간,중부선_0~50km 미만구간
4/18/2015,평택제천선,5.6,평택,고라니,수도권,20,0,평택제천선_5.6,126.949711441,37.044685964,0~50km 미만구간,평택제천선_0~50km 미만구간
4/27/2015,평택제천선,29.6,평택,고라니,수도권,11,17,평택제천선_29.6,127.188072241,37.009122384,0~50km 미만구간,평택제천선_0~50km 미만구간
4/1/2015,동해선,34.1,동해,고라니,강원,23,30,동해선_34.1,129.027722443,37.627641484,0~50km 미만구간,동해선_0~50km 미만구간
4/15/2015,당진대전선,4.8,당진,고라니,대전충남,8,58,당진대전선_4.8,126.652447369,36.817881181,0~50km 미만구간,당진대전선_0~50km 미만구간
4/22/2015,당진대전선,7.8,대전,고라니,대전충남,19,25,당진대전선_7.8,126.672065514,36.796393222,0~50km 미만구간,당진대전선_0~50km 미만구간
4/26/2015,당진대전선,10.3,당진,고라니,대전충남,5,51,당진대전선_10.3,126.692022094,36.780589329,0~50km 미만구간,당진대전선_0~50km 미만구간
4/27/2015,당진대전선,7.3,당진,고라니,대전충남,19,50,당진대전선_7.3,126.668047716,36.79952926,0~50km 미만구간,당진대전선_0~50km 미만구간
4/28/2015,당진대전선,11.3,당진,고라니,대전충남,12,28,당진대전선_11.3,126.698155163,36.77307982,0~50km 미만구간,당진대전선_0~50km 미만구간
4/30/2015,당진대전선,7.4,대전,고라니,대전충남,7,32,당진대전선_7.4,126.668851767,36.798901678,0~50km 미만구간,당진대전선_0~50km 미만구간
4/30/2015,당진대전선,3.3,당진,고라니,대전충남,8,0,당진대전선_3.3,126.64158275,36.828091137,0~50km 미만구간,당진대전선_0~50km 미만구간
4/17/2015,청주상주선,7.5,상주,고라니,충북,6,15,청주상주선_7.5,127.502079909,36.53308564,0~50km 미만구간,청주상주선_0~50km 미만구간
4/25/2015,청주상주선,18,상주,고라니,충북,5,25,청주상주선_18,127.602983132,36.491926049999996,0~50km 미만구간,청주상주선_0~50km 미만구간
4/26/2015,청주상주선,7.6,상주,고라니,충북,9,57,청주상주선_7.6,127.502914998,36.532487403,0~50km 미만구간,청주상주선_0~50km 미만구간
4/26/2015,청주상주선,32.9,상주,고라니,충북,10,39,청주상주선_32.9,127.756810631,36.454787122,0~50km 미만구간,청주상주선_0~50km 미만구간
4/26/2015,청주상주선,8.9,청주,고라니,충북,22,17,청주상주선_8.9,127.515677497,36.527147152,0~50km 미만구간,청주상주선_0~50km 미만구간
4/28/2015,청주상주선,33.4,상주,고라니,충북,8,2,청주상주선_33.4,127.76237288,36.45447568,0~50km 미만구간,청주상주선_0~50km 미만구간
4/28/2015,청주상주선,9.8,청주,고라니,충북,3,30,청주상주선_9.8,127.525486234,36.525411502,0~50km 미만구간,청주상주선_0~50km 미만구간
4/28/2015,청주상주선,24,상주,고라니,충북,6,30,청주상주선_24,127.661820035,36.472952202,0~50km 미만구간,청주상주선_0~50km 미만구간
4/30/2015,청주상주선,29.9,상주,고라니,충북,4,15,청주상주선_29.9,127.72368363,36.456454666,0~50km 미만구간,청주상주선_0~50km 미만구간
4/30/2015,청주상주선,39.9,청주,고라니,충북,6,28,청주상주선_39.9,127.834813329,36.455602687,0~50km 미만구간,청주상주선_0~50km 미만구간
4/7/2015,당진대전선,13.7,당진,고라니,대전충남,0,55,당진대전선_13.7,126.710665052,36.753965362,0~50km 미만구간,당진대전선_0~50km 미만구간
4/7/2015,당진대전선,39.7,당진,너구리,대전충남,6,57,당진대전선_39.7,126.897648477,36.59017162,0~50km 미만구간,당진대전선_0~50km 미만구간
4/10/2015,당진대전선,34.4,대전,고라니,대전충남,14,47,당진대전선_34.4,126.851110148,36.613453759,0~50km 미만구간,당진대전선_0~50km 미만구간
4/19/2015,당진대전선,42.7,당진,고라니,대전충남,7,0,당진대전선_42.7,126.930046356,36.585048081,0~50km 미만구간,당진대전선_0~50km 미만구간
