category,dates,value
최고기온(℃),1960-07-01,24.2
최저기온(℃),1960-07-01,19.5
최고기온(℃),1960-07-02,29.8
최저기온(℃),1960-07-02,20.7
최고기온(℃),1960-07-03,24.4
최저기온(℃),1960-07-03,20.7
최고기온(℃),1960-07-04,26.4
최저기온(℃),1960-07-04,20.4
최고기온(℃),1960-07-05,30.6
최저기온(℃),1960-07-05,20.4
최고기온(℃),1960-07-06,30.4
최저기온(℃),1960-07-06,21.4
최고기온(℃),1960-07-07,22.3
최저기온(℃),1960-07-07,18.9
최고기온(℃),1960-07-08,22.3
최저기온(℃),1960-07-08,18.6
최고기온(℃),1960-07-09,27.0
최저기온(℃),1960-07-09,18.8
최고기온(℃),1960-07-10,30.2
최저기온(℃),1960-07-10,19.5
최고기온(℃),1960-07-11,30.0
최저기온(℃),1960-07-11,21.1
최고기온(℃),1960-07-12,29.1
최저기온(℃),1960-07-12,22.8
최고기온(℃),1960-07-13,29.0
최저기온(℃),1960-07-13,22.8
최고기온(℃),1960-07-14,24.4
최저기온(℃),1960-07-14,22.1
최고기온(℃),1960-07-15,29.2
최저기온(℃),1960-07-15,22.6
최고기온(℃),1960-07-16,31.9
최저기온(℃),1960-07-16,22.9
최고기온(℃),1960-07-17,31.5
최저기온(℃),1960-07-17,23.4
최고기온(℃),1960-07-18,31.4
최저기온(℃),1960-07-18,23.7
최고기온(℃),1960-07-19,31.4
최저기온(℃),1960-07-19,23.7
최고기온(℃),1960-07-20,31.2
최저기온(℃),1960-07-20,23.5
최고기온(℃),1960-07-21,31.5
최저기온(℃),1960-07-21,21.9
최고기온(℃),1960-07-22,32.4
최저기온(℃),1960-07-22,21.4
최고기온(℃),1960-07-23,31.6
최저기온(℃),1960-07-23,22.8
최고기온(℃),1960-07-24,28.0
최저기온(℃),1960-07-24,23.3
최고기온(℃),1960-07-25,24.8
최저기온(℃),1960-07-25,21.5
최고기온(℃),1960-07-26,27.0
최저기온(℃),1960-07-26,19.9
최고기온(℃),1960-07-27,30.5
최저기온(℃),1960-07-27,22.6
최고기온(℃),1960-07-28,28.6
최저기온(℃),1960-07-28,23.4
최고기온(℃),1960-07-29,32.3
최저기온(℃),1960-07-29,25.8
최고기온(℃),1960-07-30,30.6
최저기온(℃),1960-07-30,24.9
최고기온(℃),1960-07-31,30.5
최저기온(℃),1960-07-31,24.3
최고기온(℃),1960-08-01,29.8
최저기온(℃),1960-08-01,24.2
최고기온(℃),1960-08-02,29.8
최저기온(℃),1960-08-02,24.7
최고기온(℃),1960-08-03,34.3
최저기온(℃),1960-08-03,24.6
최고기온(℃),1960-08-04,34.3
최저기온(℃),1960-08-04,24.6
최고기온(℃),1960-08-05,34.4
최저기온(℃),1960-08-05,24.5
최고기온(℃),1960-08-06,34.1
최저기온(℃),1960-08-06,25.7
최고기온(℃),1960-08-07,33.6
최저기온(℃),1960-08-07,24.7
최고기온(℃),1960-08-08,34.1
최저기온(℃),1960-08-08,24.8
최고기온(℃),1960-08-09,33.7
최저기온(℃),1960-08-09,24.0
최고기온(℃),1960-08-10,33.8
최저기온(℃),1960-08-10,24.2
최고기온(℃),1960-08-11,32.9
최저기온(℃),1960-08-11,24.3
최고기온(℃),1960-08-12,32.2
최저기온(℃),1960-08-12,23.0
최고기온(℃),1960-08-13,30.6
최저기온(℃),1960-08-13,23.2
최고기온(℃),1960-08-14,32.0
최저기온(℃),1960-08-14,21.4
최고기온(℃),1960-08-15,30.6
최저기온(℃),1960-08-15,20.8
최고기온(℃),1960-08-16,28.7
최저기온(℃),1960-08-16,22.8
최고기온(℃),1960-08-17,33.9
최저기온(℃),1960-08-17,23.5
최고기온(℃),1960-08-18,31.1
최저기온(℃),1960-08-18,22.7
최고기온(℃),1960-08-19,33.3
최저기온(℃),1960-08-19,22.7
최고기온(℃),1960-08-20,34.1
최저기온(℃),1960-08-20,24.4
최고기온(℃),1960-08-21,33.5
최저기온(℃),1960-08-21,23.1
최고기온(℃),1960-08-22,32.4
최저기온(℃),1960-08-22,24.1
최고기온(℃),1960-08-23,27.1
최저기온(℃),1960-08-23,20.9
